model,seed,f1_macro,roc_auc,balanced_accuracy
XGBoost,42,0.9929623914332898,0.9997959608116773,0.99298975250711
XGBoost,123,0.9933142718616252,0.9997845159114878,0.9933416524220732
XGBoost,456,0.9938429382502059,0.9997313525041565,0.9939388793104509
XGBoost,789,0.9938408921498414,0.9995092229897279,0.9937723744722116
XGBoost,2024,0.9936665014517421,0.9996185648587417,0.9937213031434096
LightGBM,42,0.9936668490165288,0.9997443972291036,0.9937490539497826
LightGBM,123,0.9934903917113558,0.9996892648066859,0.9935314777827413
LightGBM,456,0.9938439403431949,0.9995658321734604,0.9940221317295705
LightGBM,789,0.9926092777536546,0.9994694734976722,0.9925546001730272
LightGBM,2024,0.9934889431298324,0.9996106272666747,0.9934204745572485
CatBoost,42,0.9933146404212833,0.9996919722024296,0.9933694032284464
CatBoost,123,0.9919071962994481,0.9996429929521566,0.9919618035685938
CatBoost,456,0.9940183624822008,0.9996033665235439,0.9940732030583727
CatBoost,789,0.9917291980297871,0.999212393965461,0.9916609749824327
CatBoost,2024,0.9938415803975656,0.9995465112129256,0.9938278760849582
GradientBoosting,42,0.9917310381198303,0.9991600920022299,0.9917719782079255
GradientBoosting,123,0.9899722361034015,0.9990333366560462,0.990040229439483
GradientBoosting,456,0.9915571761788067,0.999251774267188,0.9917209068791234
GradientBoosting,789,0.9892637352860265,0.9988707698479797,0.9891144231585709
GradientBoosting,2024,0.9896175039097327,0.9992355298927256,0.9895495754926538
RandomForest,42,0.9896139604062886,0.9990633026043917,0.9893830706544144
RandomForest,123,0.9904916440656967,0.9988798150110326,0.990137941813143
RandomForest,456,0.9913757873609065,0.9985755406484704,0.9912258226483499
RandomForest,789,0.9885503252069856,0.9985495742620193,0.9880221120394197
RandomForest,2024,0.9896109352664535,0.9983275678110336,0.9892443166225484
