model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,ranking_score
LogisticRegression,0.9922,0.0041,0.9859,0.0074,0.9923,0.0041,0.9872,0.0065,0.9719,0.0147,0.9993,0.0005,0.996,0.0021,0.9947,0.0032,0.887
MLP,0.9922,0.0034,0.9859,0.0061,0.9922,0.0034,0.9857,0.0053,0.9718,0.0121,0.9984,0.0017,0.9953,0.0018,0.9955,0.003,0.8866
SVM_Linear,0.9913,0.0024,0.9842,0.0044,0.9913,0.0024,0.9855,0.0045,0.9684,0.0088,0.9991,0.0005,0.9954,0.0017,0.9941,0.0023,0.8857
XGBoost,0.9902,0.0035,0.9821,0.0063,0.9902,0.0035,0.9822,0.0068,0.9643,0.0127,0.9989,0.0007,0.9941,0.0024,0.9941,0.0025,0.8833
RandomForest,0.9897,0.0024,0.9812,0.0045,0.9897,0.0025,0.9803,0.0073,0.9625,0.009,0.9984,0.0007,0.9934,0.0029,0.9943,0.0009,0.8824
AdaBoost,0.9889,0.0028,0.98,0.005,0.9889,0.0028,0.9825,0.0052,0.96,0.01,0.9985,0.001,0.9947,0.002,0.992,0.0026,0.8822
CatBoost,0.9891,0.0036,0.9802,0.0065,0.9891,0.0036,0.9819,0.0094,0.9604,0.0131,0.9989,0.0005,0.9943,0.0036,0.9926,0.0016,0.882
LightGBM,0.9884,0.0024,0.979,0.0044,0.9884,0.0024,0.9796,0.0063,0.958,0.0089,0.9987,0.0007,0.9934,0.0024,0.9928,0.0011,0.8808
ExtraTrees,0.9883,0.0019,0.9786,0.0036,0.9882,0.0019,0.976,0.0064,0.9572,0.0071,0.9983,0.0009,0.9917,0.0026,0.9943,0.0007,0.8796
GradientBoosting,0.9869,0.0027,0.9763,0.0048,0.9869,0.0027,0.9794,0.0052,0.9526,0.0096,0.9986,0.0007,0.9937,0.0018,0.9905,0.0019,0.8791
GaussianNB,0.9861,0.0024,0.9745,0.0045,0.986,0.0025,0.9716,0.0065,0.949,0.009,0.9828,0.0049,0.9902,0.0025,0.9932,0.0012,0.8757
DecisionTree,0.9534,0.0092,0.9168,0.0166,0.9538,0.0092,0.9242,0.0186,0.8342,0.033,0.9242,0.0186,0.9763,0.0069,0.9678,0.0078,0.8257
kNN,0.9235,0.0072,0.8817,0.0095,0.9289,0.0063,0.9534,0.0042,0.7871,0.0154,0.9833,0.002,0.9996,0.0006,0.9088,0.0088,0.8141
